 Ödül: -4799.10, Son 100 Bölüm Ort. Ödül: -11093.54
Adım: 309709, Bölüm Bitti, Ödül: -2888.41, Son 100 Bölüm Ort. Ödül: -11075.21
Adım: 464727, Bölüm Bitti, Ödül: -13826.74, Son 100 Bölüm Ort. Ödül: -10828.73
Adım: 464782, Bölüm Bitti, Ödül: -12832.57, Son 100 Bölüm Ort. Ödül: -10883.05
Adım: 464840, Bölüm Bitti, Ödül: -12997.14, Son 100 Bölüm Ort. Ödül: -10962.76
Adım: 464873, Bölüm Bitti, Ödül: -6563.40, Son 100 Bölüm Ort. Ödül: -10952.30
Adım: 464885, Bölüm Bitti, Ödül: -3112.04, Son 100 Bölüm Ort. Ödül: -8801.55
Adım: 464896, Bölüm Bitti, Ödül: -2281.74, Son 100 Bölüm Ort. Ödül: -8783.25
Adım: 464922, Bölüm Bitti, Ödül: -5805.56, Son 100 Bölüm Ort. Ödül: -8806.23
Adım: 464936, Bölüm Bitti, Ödül: -2807.14, Son 100 Bölüm Ort. Ödül: -8785.23
Adım: 464955, Bölüm Bitti, Ödül: -3133.35, Son 100 Bölüm Ort. Ödül: -8765.58
Adım: 464999, Bölüm Bitti, Ödül: -10587.76, Son 100 Bölüm Ort. Ödül: -8833.78
Adım: 465018, Bölüm Bitti, Ödül: -5037.37, Son 100 Bölüm Ort. Ödül: -8814.69
Adım: 465117, Bölüm Bitti, Ödül: -22573.01, Son 100 Bölüm Ort. Ödül: -9007.29
Adım: 465134, Bölüm Bitti, Ödül: -2840.74, Son 100 Bölüm Ort. Ödül: -9011.94
Adım: 465145, Bölüm Bitti, Ödül: -2781.82, Son 100 Bölüm Ort. Ödül: -8992.87
Adım: 465157, Bölüm Bitti, Ödül: -2077.81, Son 100 Bölüm Ort. Ödül: -8991.57
Adım: 465176, Bölüm Bitti, Ödül: -4249.00, Son 100 Bölüm Ort. Ödül: -8993.01
Adım: 465190, Bölüm Bitti, Ödül: -2552.37, Son 100 Bölüm Ort. Ödül: -8967.33
Adım: 465219, Bölüm Bitti, Ödül: -6883.41, Son 100 Bölüm Ort. Ödül: -8983.06
Adım: 465246, Bölüm Bitti, Ödül: -5508.84, Son 100 Bölüm Ort. Ödül: -8879.90
Adım: 465277, Bölüm Bitti, Ödül: -8493.76, Son 100 Bölüm Ort. Ödül: -8940.57
Adım: 465330, Bölüm Bitti, Ödül: -10550.01, Son 100 Bölüm Ort. Ödül: -9017.60
Adım: 465353, Bölüm Bitti, Ödül: -5364.42, Son 100 Bölüm Ort. Ödül: -9055.47
Adım: 465390, Bölüm Bitti, Ödül: -8444.88, Son 100 Bölüm Ort. Ödül: -9080.56
Adım: 465461, Bölüm Bitti, Ödül: -15209.97, Son 100 Bölüm Ort. Ödül: -9191.93
Adım: 465508, Bölüm Bitti, Ödül: -10620.99, Son 100 Bölüm Ort. Ödül: -9260.10
Adım: 465522, Bölüm Bitti, Ödül: -2468.24, Son 100 Bölüm Ort. Ödül: -9203.87
Adım: 465561, Bölüm Bitti, Ödül: -9132.54, Son 100 Bölüm Ort. Ödül: -9214.29
Adım: 465575, Bölüm Bitti, Ödül: -3462.19, Son 100 Bölüm Ort. Ödül: -9183.53
Adım: 465610, Bölüm Bitti, Ödül: -6748.67, Son 100 Bölüm Ort. Ödül: -9220.03
Adım: 465623, Bölüm Bitti, Ödül: -3449.56, Son 100 Bölüm Ort. Ödül: -9199.11
Adım: 465642, Bölüm Bitti, Ödül: -3661.27, Son 100 Bölüm Ort. Ödül: -9067.22
Adım: 465716, Bölüm Bitti, Ödül: -16550.83, Son 100 Bölüm Ort. Ödül: -9183.57
Adım: 465772, Bölüm Bitti, Ödül: -12599.92, Son 100 Bölüm Ort. Ödül: -9100.30
Adım: 465832, Bölüm Bitti, Ödül: -13209.75, Son 100 Bölüm Ort. Ödül: -9176.84
Adım: 465844, Bölüm Bitti, Ödül: -2223.35, Son 100 Bölüm Ort. Ödül: -9171.88
Adım: 465857, Bölüm Bitti, Ödül: -2637.47, Son 100 Bölüm Ort. Ödül: -9159.26
Adım: 465884, Bölüm Bitti, Ödül: -6809.42, Son 100 Bölüm Ort. Ödül: -9151.80
Adım: 465900, Bölüm Bitti, Ödül: -4168.40, Son 100 Bölüm Ort. Ödül: -9120.04
Adım: 465911, Bölüm Bitti, Ödül: -2141.62, Son 100 Bölüm Ort. Ödül: -9003.08
Adım: 465945, Bölüm Bitti, Ödül: -7162.73, Son 100 Bölüm Ort. Ödül: -9048.76
Adım: 466007, Bölüm Bitti, Ödül: -13384.69, Son 100 Bölüm Ort. Ödül: -9141.62
Adım: 466073, Bölüm Bitti, Ödül: -14387.53, Son 100 Bölüm Ort. Ödül: -9162.25
Adım: 467073, Bölüm Bitti, Ödül: -222747.00, Son 100 Bölüm Ort. Ödül: -11353.69
Adım: 467089, Bölüm Bitti, Ödül: -2934.20, Son 100 Bölüm Ort. Ödül: -11361.99
Adım: 467113, Bölüm Bitti, Ödül: -5055.54, Son 100 Bölüm Ort. Ödül: -11346.09
Adım: 467124, Bölüm Bitti, Ödül: -2448.38, Son 100 Bölüm Ort. Ödül: -11350.15
Adım: 467147, Bölüm Bitti, Ödül: -4358.88, Son 100 Bölüm Ort. Ödül: -11245.89
Adım: 467165, Bölüm Bitti, Ödül: -3782.68, Son 100 Bölüm Ort. Ödül: -11203.10
Adım: 467175, Bölüm Bitti, Ödül: -2076.51, Son 100 Bölüm Ort. Ödül: -11136.44
Adım: 467265, Bölüm Bitti, Ödül: -22027.02, Son 100 Bölüm Ort. Ödül: -11324.06
Adım: 467293, Bölüm Bitti, Ödül: -5766.16, Son 100 Bölüm Ort. Ödül: -11237.41
Adım: 467315, Bölüm Bitti, Ödül: -5029.04, Son 100 Bölüm Ort. Ödül: -11196.95
Adım: 467325, Bölüm Bitti, Ödül: -2191.51, Son 100 Bölüm Ort. Ödül: -11159.10
Adım: 467388, Bölüm Bitti, Ödül: -14656.10, Son 100 Bölüm Ort. Ödül: -11284.40
Adım: 467410, Bölüm Bitti, Ödül: -4270.01, Son 100 Bölüm Ort. Ödül: -11276.27
Adım: 467429, Bölüm Bitti, Ödül: -3992.76, Son 100 Bölüm Ort. Ödül: -11250.46
Adım: 467443, Bölüm Bitti, Ödül: -3313.12, Son 100 Bölüm Ort. Ödül: -11212.33
Adım: 467455, Bölüm Bitti, Ödül: -2451.43, Son 100 Bölüm Ort. Ödül: -11196.76
Adım: 467465, Bölüm Bitti, Ödül: -2275.11, Son 100 Bölüm Ort. Ödül: -11153.91
Adım: 467538, Bölüm Bitti, Ödül: -17188.62, Son 100 Bölüm Ort. Ödül: -11299.15
Adım: 467570, Bölüm Bitti, Ödül: -7681.73, Son 100 Bölüm Ort. Ödül: -11334.46
Adım: 467604, Bölüm Bitti, Ödül: -6658.66, Son 100 Bölüm Ort. Ödül: -11264.54
Adım: 467626, Bölüm Bitti, Ödül: -4403.31, Son 100 Bölüm Ort. Ödül: -11273.43
Adım: 467719, Bölüm Bitti, Ödül: -20876.33, Son 100 Bölüm Ort. Ödül: -11422.55
Adım: 467754, Bölüm Bitti, Ödül: -6758.87, Son 100 Bölüm Ort. Ödül: -11405.33
Adım: 467787, Bölüm Bitti, Ödül: -7167.36, Son 100 Bölüm Ort. Ödül: -11446.57
Adım: 467804, Bölüm Bitti, Ödül: -3749.09, Son 100 Bölüm Ort. Ödül: -11452.27
Adım: 467823, Bölüm Bitti, Ödül: -4816.14, Son 100 Bölüm Ort. Ödül: -11413.94
Adım: 467856, Bölüm Bitti, Ödül: -6733.25, Son 100 Bölüm Ort. Ödül: -11453.55
Adım: 467870, Bölüm Bitti, Ödül: -2956.31, Son 100 Bölüm Ort. Ödül: -11373.92
Adım: 467879, Bölüm Bitti, Ödül: -2195.56, Son 100 Bölüm Ort. Ödül: -11279.31
Adım: 467904, Bölüm Bitti, Ödül: -5708.08, Son 100 Bölüm Ort. Ödül: -11255.74
Adım: 467923, Bölüm Bitti, Ödül: -4880.49, Son 100 Bölüm Ort. Ödül: -11235.76
Adım: 467940, Bölüm Bitti, Ödül: -4519.14, Son 100 Bölüm Ort. Ödül: -11260.62
Adım: 467959, Bölüm Bitti, Ödül: -4283.40, Son 100 Bölüm Ort. Ödül: -11278.11
Adım: 467984, Bölüm Bitti, Ödül: -5639.22, Son 100 Bölüm Ort. Ödül: -11232.95
Adım: 467995, Bölüm Bitti, Ödül: -2273.14, Son 100 Bölüm Ort. Ödül: -11085.60
Adım: 468004, Bölüm Bitti, Ödül: -2492.30, Son 100 Bölüm Ort. Ödül: -11060.15
Adım: 468031, Bölüm Bitti, Ödül: -5219.78, Son 100 Bölüm Ort. Ödül: -11077.45
Adım: 468047, Bölüm Bitti, Ödül: -2956.73, Son 100 Bölüm Ort. Ödül: -11007.93
Adım: 468070, Bölüm Bitti, Ödül: -5199.65, Son 100 Bölüm Ort. Ödül: -10932.31
Adım: 468089, Bölüm Bitti, Ödül: -5182.41, Son 100 Bölüm Ort. Ödül: -10947.20
Adım: 468114, Bölüm Bitti, Ödül: -5241.77, Son 100 Bölüm Ort. Ödül: -10837.09
Adım: 468151, Bölüm Bitti, Ödül: -7292.35, Son 100 Bölüm Ort. Ödül: -10816.34
Adım: 468177, Bölüm Bitti, Ödül: -6166.91, Son 100 Bölüm Ort. Ödül: -10756.07
Adım: 468188, Bölüm Bitti, Ödül: -3058.03, Son 100 Bölüm Ort. Ödül: -8593.92
Adım: 468262, Bölüm Bitti, Ödül: -17102.91, Son 100 Bölüm Ort. Ödül: -8703.25
Adım: 468344, Bölüm Bitti, Ödül: -17080.35, Son 100 Bölüm Ort. Ödül: -8810.97
Adım: 468365, Bölüm Bitti, Ödül: -4461.06, Son 100 Bölüm Ort. Ödül: -8765.35
Adım: 468399, Bölüm Bitti, Ödül: -7360.55, Son 100 Bölüm Ort. Ödül: -8741.76
Adım: 468495, Bölüm Bitti, Ödül: -20539.67, Son 100 Bölüm Ort. Ödül: -8811.20
Adım: 468503, Bölüm Bitti, Ödül: -1976.34, Son 100 Bölüm Ort. Ödül: -8781.97
Adım: 468516, Bölüm Bitti, Ödül: -3592.72, Son 100 Bölüm Ort. Ödül: -8782.21
Adım: 468572, Bölüm Bitti, Ödül: -11554.94, Son 100 Bölüm Ort. Ödül: -8824.65
Adım: 468604, Bölüm Bitti, Ödül: -7241.97, Son 100 Bölüm Ort. Ödül: -8865.09
Adım: 468661, Bölüm Bitti, Ödül: -12848.61, Son 100 Bölüm Ort. Ödül: -8974.38
Adım: 468688, Bölüm Bitti, Ödül: -6960.95, Son 100 Bölüm Ort. Ödül: -9025.11
Adım: 468718, Bölüm Bitti, Ödül: -6750.55, Son 100 Bölüm Ort. Ödül: -9060.80
Adım: 468767, Bölüm Bitti, Ödül: -12125.12, Son 100 Bölüm Ort. Ödül: -9146.60
Adım: 468804, Bölüm Bitti, Ödül: -7623.88, Son 100 Bölüm Ort. Ödül: -9192.28
Adım: 468826, Bölüm Bitti, Ödül: -4467.56, Son 100 Bölüm Ort. Ödül: -9098.69
Adım: 468838, Bölüm Bitti, Ödül: -2151.44, Son 100 Bölüm Ort. Ödül: -8991.87
Adım: 468855, Bölüm Bitti, Ödül: -3932.99, Son 100 Bölüm Ort. Ödül: -8901.23
Adım: 468873, Bölüm Bitti, Ödül: -3681.60, Son 100 Bölüm Ort. Ödül: -8872.41
Adım: 468927, Bölüm Bitti, Ödül: -10711.67, Son 100 Bölüm Ort. Ödül: -8948.41
Adım: 468945, Bölüm Bitti, Ödül: -4086.53, Son 100 Bölüm Ort. Ödül: -8966.46
Adım: 468958, Bölüm Bitti, Ödül: -2618.53, Son 100 Bölüm Ort. Ödül: -8934.59
Adım: 468978, Bölüm Bitti, Ödül: -3912.87, Son 100 Bölüm Ort. Ödül: -8945.65
Adım: 469019, Bölüm Bitti, Ödül: -9121.16, Son 100 Bölüm Ort. Ödül: -9005.52
Adım: 469055, Bölüm Bitti, Ödül: -8127.72, Son 100 Bölüm Ort. Ödül: -8980.92
Adım: 469077, Bölüm Bitti, Ödül: -4213.70, Son 100 Bölüm Ort. Ödül: -8972.69
Adım: 470077, Bölüm Bitti, Ödül: -222267.49, Son 100 Bölüm Ort. Ödül: -10969.63
Adım: 470121, Bölüm Bitti, Ödül: -9734.90, Son 100 Bölüm Ort. Ödül: -11038.57
Adım: 470133, Bölüm Bitti, Ödül: -2303.05, Son 100 Bölüm Ort. Ödül: -11033.79
Adım: 470163, Bölüm Bitti, Ödül: -7072.14, Son 100 Bölüm Ort. Ödül: -11083.73
Adım: 470224, Bölüm Bitti, Ödül: -11686.45, Son 100 Bölüm Ort. Ödül: -11158.10
Adım: 470247, Bölüm Bitti, Ödül: -4672.80, Son 100 Bölüm Ort. Ödül: -11179.31
Adım: 470278, Bölüm Bitti, Ödül: -6311.41, Son 100 Bölüm Ort. Ödül: -11173.59
Adım: 470314, Bölüm Bitti, Ödül: -8009.43, Son 100 Bölüm Ort. Ödül: -11198.59
Adım: 470368, Bölüm Bitti, Ödül: -10923.82, Son 100 Bölüm Ort. Ödül: -11222.89
Adım: 470385, Bölüm Bitti, Ödül: -3508.60, Son 100 Bölüm Ort. Ödül: -11152.48
Adım: 470410, Bölüm Bitti, Ödül: -5140.16, Son 100 Bölüm Ort. Ödül: -11150.24
Adım: 470421, Bölüm Bitti, Ödül: -2105.64, Son 100 Bölüm Ort. Ödül: -11086.85
Adım: 470518, Bölüm Bitti, Ödül: -21340.80, Son 100 Bölüm Ort. Ödül: -11148.15
Adım: 470539, Bölüm Bitti, Ödül: -4428.44, Son 100 Bölüm Ort. Ödül: -11086.23
Adım: 470563, Bölüm Bitti, Ödül: -6679.62, Son 100 Bölüm Ort. Ödül: -11128.34
Adım: 470584, Bölüm Bitti, Ödül: -5441.05, Son 100 Bölüm Ort. Ödül: -11091.43
Adım: 470592, Bölüm Bitti, Ödül: -1233.35, Son 100 Bölüm Ort. Ödül: -11069.14
Adım: 470606, Bölüm Bitti, Ödül: -3074.18, Son 100 Bölüm Ort. Ödül: -11032.39
Adım: 470618, Bölüm Bitti, Ödül: -3533.40, Son 100 Bölüm Ort. Ödül: -11033.23
Adım: 470628, Bölüm Bitti, Ödül: -2309.11, Son 100 Bölüm Ort. Ödül: -11019.71
Adım: 470644, Bölüm Bitti, Ödül: -3791.77, Son 100 Bölüm Ort. Ödül: -10892.12
Adım: 470664, Bölüm Bitti, Ödül: -3972.38, Son 100 Bölüm Ort. Ödül: -10805.84
Adım: 470676, Bölüm Bitti, Ödül: -2054.94, Son 100 Bölüm Ort. Ödül: -10694.30
Adım: 470711, Bölüm Bitti, Ödül: -8258.87, Son 100 Bölüm Ort. Ödül: -10754.65
Adım: 470739, Bölüm Bitti, Ödül: -6100.89, Son 100 Bölüm Ort. Ödül: -10789.29
Adım: 470749, Bölüm Bitti, Ödül: -2144.11, Son 100 Bölüm Ort. Ödül: -10742.63
Adım: 470809, Bölüm Bitti, Ödül: -13561.01, Son 100 Bölüm Ort. Ödül: -10836.56
Adım: 470837, Bölüm Bitti, Ödül: -5809.09, Son 100 Bölüm Ort. Ödül: -10873.23
Adım: 470845, Bölüm Bitti, Ödül: -2001.96, Son 100 Bölüm Ort. Ödül: -10821.63
Adım: 470858, Bölüm Bitti, Ödül: -2728.77, Son 100 Bölüm Ort. Ödül: -10715.07
Adım: 470876, Bölüm Bitti, Ödül: -3924.79, Son 100 Bölüm Ort. Ödül: -10610.44
Adım: 470896, Bölüm Bitti, Ödül: -4568.58, Son 100 Bölüm Ort. Ödül: -8428.65
Adım: 470934, Bölüm Bitti, Ödül: -7633.85, Son 100 Bölüm Ort. Ödül: -8475.65
Adım: 470946, Bölüm Bitti, Ödül: -2635.98, Son 100 Bölüm Ort. Ödül: -8451.46
Adım: 470962, Bölüm Bitti, Ödül: -3261.45, Son 100 Bölüm Ort. Ödül: -8459.59
Adım: 470990, Bölüm Bitti, Ödül: -5891.62, Son 100 Bölüm Ort. Ödül: -8474.91
Adım: 471000, Bölüm Bitti, Ödül: -1268.72, Son 100 Bölüm Ort. Ödül: -8449.77
Adım: 471011, Bölüm Bitti, Ödül: -2415.78, Son 100 Bölüm Ort. Ödül: -8453.17
Adım: 471044, Bölüm Bitti, Ödül: -6886.65, Son 100 Bölüm Ort. Ödül: -8301.76
Adım: 471087, Bölüm Bitti, Ödül: -8838.84, Son 100 Bölüm Ort. Ödül: -8332.49
Adım: 471105, Bölüm Bitti, Ödül: -4116.81, Son 100 Bölüm Ort. Ödül: -8323.37
Adım: 471137, Bölüm Bitti, Ödül: -7329.31, Son 100 Bölüm Ort. Ödül: -8374.75
Adım: 471148, Bölüm Bitti, Ödül: -2342.85, Son 100 Bölüm Ort. Ödül: -8251.61
Adım: 471182, Bölüm Bitti, Ödül: -7680.78, Son 100 Bölüm Ort. Ödül: -8285.72
Adım: 471213, Bölüm Bitti, Ödül: -6939.20, Son 100 Bölüm Ort. Ödül: -8315.19
Adım: 471236, Bölüm Bitti, Ödül: -4436.95, Son 100 Bölüm Ort. Ödül: -8326.42
Adım: 471282, Bölüm Bitti, Ödül: -10247.60, Son 100 Bölüm Ort. Ödül: -8404.39
Adım: 471304, Bölüm Bitti, Ödül: -4735.50, Son 100 Bölüm Ort. Ödül: -8428.99
Adım: 471331, Bölüm Bitti, Ödül: -5133.68, Son 100 Bölüm Ort. Ödül: -8308.44
Adım: 471358, Bölüm Bitti, Ödül: -5060.27, Son 100 Bölüm Ort. Ödül: -8282.23
Adım: 471380, Bölüm Bitti, Ödül: -5327.17, Son 100 Bölüm Ort. Ödül: -8268.91
Adım: 471397, Bölüm Bitti, Ödül: -4155.99, Son 100 Bölüm Ort. Ödül: -8266.44
Adım: 471444, Bölüm Bitti, Ödül: -10555.46, Son 100 Bölüm Ort. Ödül: -8163.23
Adım: 471457, Bölüm Bitti, Ödül: -2472.69, Son 100 Bölüm Ort. Ödül: -8120.37
Adım: 471474, Bölüm Bitti, Ödül: -3651.91, Son 100 Bölüm Ort. Ödül: -8085.21
Adım: 471486, Bölüm Bitti, Ödül: -3166.48, Son 100 Bölüm Ort. Ödül: -8079.39
Adım: 471497, Bölüm Bitti, Ödül: -2203.80, Son 100 Bölüm Ort. Ödül: -8053.26
Adım: 471528, Bölüm Bitti, Ödül: -7025.49, Son 100 Bölüm Ort. Ödül: -8056.19
Adım: 471539, Bölüm Bitti, Ödül: -2271.92, Son 100 Bölüm Ort. Ödül: -8049.34
Adım: 471569, Bölüm Bitti, Ödül: -5225.96, Son 100 Bölüm Ort. Ödül: -8079.65
Adım: 471610, Bölüm Bitti, Ödül: -8374.81, Son 100 Bölüm Ort. Ödül: -8106.31
Adım: 471630, Bölüm Bitti, Ödül: -3939.23, Son 100 Bölüm Ort. Ödül: -8096.90
Adım: 471643, Bölüm Bitti, Ödül: -2283.72, Son 100 Bölüm Ort. Ödül: -8074.55
Adım: 471675, Bölüm Bitti, Ödül: -6729.56, Son 100 Bölüm Ort. Ödül: -8099.01
Adım: 471694, Bölüm Bitti, Ödül: -4952.99, Son 100 Bölüm Ort. Ödül: -8092.14
Adım: 471723, Bölüm Bitti, Ödül: -6743.79, Son 100 Bölüm Ort. Ödül: -8136.85
Adım: 471754, Bölüm Bitti, Ödül: -6874.45, Son 100 Bölüm Ort. Ödül: -8180.67
Adım: 471766, Bölüm Bitti, Ödül: -3426.66, Son 100 Bölüm Ort. Ödül: -8162.74
Adım: 471797, Bölüm Bitti, Ödül: -6362.53, Son 100 Bölüm Ort. Ödül: -8196.80
Adım: 471841, Bölüm Bitti, Ödül: -10193.65, Son 100 Bölüm Ort. Ödül: -8246.74
Adım: 471923, Bölüm Bitti, Ödül: -16508.39, Son 100 Bölüm Ort. Ödül: -8360.00
Adım: 471934, Bölüm Bitti, Ödül: -2717.99, Son 100 Bölüm Ort. Ödül: -8334.76
Adım: 472595, Bölüm Bitti, Ödül: -147456.68, Son 100 Bölüm Ort. Ödül: -9736.41
Adım: 472612, Bölüm Bitti, Ödül: -2566.03, Son 100 Bölüm Ort. Ödül: -9700.40
Adım: 472630, Bölüm Bitti, Ödül: -3980.36, Son 100 Bölüm Ort. Ödül: -9709.62
Adım: 472662, Bölüm Bitti, Ödül: -7133.91, Son 100 Bölüm Ort. Ödül: -9609.93
Adım: 472675, Bölüm Bitti, Ödül: -3242.51, Son 100 Bölüm Ort. Ödül: -9471.55
Adım: 472695, Bölüm Bitti, Ödül: -5423.05, Son 100 Bölüm Ort. Ödül: -9481.17
Adım: 472766, Bölüm Bitti, Ödül: -15009.15, Son 100 Bölüm Ort. Ödül: -9557.66
Adım: 472792, Bölüm Bitti, Ödül: -5449.97, Son 100 Bölüm Ort. Ödül: -9406.76
Adım: 472821, Bölüm Bitti, Ödül: -6518.77, Son 100 Bölüm Ort. Ödül: -9452.18
Adım: 472833, Bölüm Bitti, Ödül: -2111.83, Son 100 Bölüm Ort. Ödül: -9437.38
Adım: 472846, Bölüm Bitti, Ödül: -2277.96, Son 100 Bölüm Ort. Ödül: -9344.61
Adım: 472862, Bölüm Bitti, Ödül: -3439.35, Son 100 Bölüm Ort. Ödül: -9306.58
Adım: 472886, Bölüm Bitti, Ödül: -4574.96, Son 100 Bölüm Ort. Ödül: -9223.84
Adım: 472896, Bölüm Bitti, Ödül: -1921.47, Son 100 Bölüm Ort. Ödül: -9173.45
Adım: 472987, Bölüm Bitti, Ödül: -21229.23, Son 100 Bölüm Ort. Ödül: -9318.23
Adım: 473006, Bölüm Bitti, Ödül: -3835.69, Son 100 Bölüm Ort. Ödül: -9235.34
Adım: 473054, Bölüm Bitti, Ödül: -10452.93, Son 100 Bölüm Ort. Ödül: -9263.63
Adım: 473078, Bölüm Bitti, Ödül: -4625.43, Son 100 Bölüm Ort. Ödül: -9265.21
Adım: 473090, Bölüm Bitti, Ödül: -3270.14, Son 100 Bölüm Ort. Ödül: -9276.40
Adım: 473111, Bölüm Bitti, Ödül: -4105.47, Son 100 Bölüm Ort. Ödül: -9278.12
Adım: 473131, Bölüm Bitti, Ödül: -4387.88, Son 100 Bölüm Ort. Ödül: -9285.18
Adım: 473161, Bölüm Bitti, Ödül: -6194.12, Son 100 Bölüm Ort. Ödül: -9240.01
Adım: 473174, Bölüm Bitti, Ödül: -2939.11, Son 100 Bölüm Ort. Ödül: -9228.53
Adım: 473236, Bölüm Bitti, Ödül: -13710.76, Son 100 Bölüm Ort. Ödül: -9339.46
Adım: 473248, Bölüm Bitti, Ödül: -3269.18, Son 100 Bölüm Ort. Ödül: -9333.02
Adım: 473302, Bölüm Bitti, Ödül: -13069.92, Son 100 Bölüm Ort. Ödül: -9372.51
Adım: 473352, Bölüm Bitti, Ödül: -11411.93, Son 100 Bölüm Ort. Ödül: -9405.35
Adım: 473374, Bölüm Bitti, Ödül: -4247.41, Son 100 Bölüm Ort. Ödül: -9405.69
Adım: 473392, Bölüm Bitti, Ödül: -4258.09, Son 100 Bölüm Ort. Ödül: -7225.59
Adım: 473453, Bölüm Bitti, Ödül: -14254.83, Son 100 Bölüm Ort. Ödül: -7270.79
Adım: 473464, Bölüm Bitti, Ödül: -1945.38, Son 100 Bölüm Ort. Ödül: -7267.22
Adım: 473477, Bölüm Bitti, Ödül: -2380.11, Son 100 Bölüm Ort. Ödül: -7220.29
Adım: 473501, Bölüm Bitti, Ödül: -4606.24, Son 100 Bölüm Ort. Ödül: -7149.49
Adım: 473519, Bölüm Bitti, Ödül: -3886.01, Son 100 Bölüm Ort. Ödül: -7141.62
Adım: 473553, Bölüm Bitti, Ödül: -6996.25, Son 100 Bölüm Ort. Ödül: -7148.47
Adım: 473604, Bölüm Bitti, Ödül: -12518.15, Son 100 Bölüm Ort. Ödül: -7193.56
Adım: 473620, Bölüm Bitti, Ödül: -3137.88, Son 100 Bölüm Ort. Ödül: -7115.70
Adım: 473655, Bölüm Bitti, Ödül: -8066.48, Son 100 Bölüm Ort. Ödül: -7161.28
Adım: 473704, Bölüm Bitti, Ödül: -10910.57, Son 100 Bölüm Ort. Ödül: -7218.98
Adım: 473737, Bölüm Bitti, Ödül: -6106.57, Son 100 Bölüm Ort. Ödül: -7258.99
Adım: 473756, Bölüm Bitti, Ödül: -4205.98, Son 100 Bölüm Ort. Ödül: -7087.65
Adım: 473770, Bölüm Bitti, Ödül: -2257.77, Son 100 Bölüm Ort. Ödül: -7065.94
Adım: 473789, Bölüm Bitti, Ödül: -4546.97, Son 100 Bölüm Ort. Ödül: -7044.61
Adım: 473803, Bölüm Bitti, Ödül: -3030.83, Son 100 Bölüm Ort. Ödül: -7020.51
Adım: 473817, Bölüm Bitti, Ödül: -3095.39, Son 100 Bölüm Ort. Ödül: -7039.13
Adım: 473827, Bölüm Bitti, Ödül: -2390.68, Son 100 Bölüm Ort. Ödül: -7032.29
Adım: 473845, Bölüm Bitti, Ödül: -4462.37, Son 100 Bölüm Ort. Ödül: -7041.58
Adım: 473894, Bölüm Bitti, Ödül: -9802.34, Son 100 Bölüm Ort. Ödül: -7116.52
Adım: 473936, Bölüm Bitti, Ödül: -9488.04, Son 100 Bölüm Ort. Ödül: -7173.48
Adım: 473954, Bölüm Bitti, Ödül: -4758.99, Son 100 Bölüm Ort. Ödül: -7181.35
Adım: 473974, Bölüm Bitti, Ödül: -4600.41, Son 100 Bölüm Ort. Ödül: -7206.80
Adım: 473997, Bölüm Bitti, Ödül: -5474.98, Son 100 Bölüm Ort. Ödül: -7178.96
Adım: 474015, Bölüm Bitti, Ödül: -4644.76, Son 100 Bölüm Ort. Ödül: -7164.40
Adım: 474030, Bölüm Bitti, Ödül: -3814.32, Son 100 Bölüm Ort. Ödül: -7181.10
Adım: 474055, Bölüm Bitti, Ödül: -5483.80, Son 100 Bölüm Ort. Ödül: -7100.33
Adım: 474076, Bölüm Bitti, Ödül: -5359.00, Son 100 Bölüm Ort. Ödül: -7095.83
Adım: 474087, Bölüm Bitti, Ödül: -2306.04, Son 100 Bölüm Ort. Ödül: -7098.87
Adım: 474111, Bölüm Bitti, Ödül: -5231.88, Son 100 Bölüm Ort. Ödül: -7123.90
Adım: 474133, Bölüm Bitti, Ödül: -4332.46, Son 100 Bölüm Ort. Ödül: -7127.98
Adım: 474166, Bölüm Bitti, Ödül: -7681.80, Son 100 Bölüm Ort. Ödül: -7159.11
Adım: 474178, Bölüm Bitti, Ödül: -1966.92, Son 100 Bölüm Ort. Ödül: -7102.44
Adım: 474190, Bölüm Bitti, Ödül: -2511.28, Son 100 Bölüm Ort. Ödül: -7101.19
Adım: 474272, Bölüm Bitti, Ödül: -18963.36, Son 100 Bölüm Ort. Ödül: -7258.21
Adım: 474286, Bölüm Bitti, Ödül: -2662.57, Son 100 Bölüm Ort. Ödül: -7225.92
Adım: 474390, Bölüm Bitti, Ödül: -23216.19, Son 100 Bölüm Ort. Ödül: -7445.40
Adım: 474414, Bölüm Bitti, Ödül: -5306.78, Son 100 Bölüm Ort. Ödül: -7474.31
Adım: 474431, Bölüm Bitti, Ödül: -3516.01, Son 100 Bölüm Ort. Ödül: -7440.60
Adım: 474487, Bölüm Bitti, Ödül: -12682.70, Son 100 Bölüm Ort. Ödül: -7479.04
Adım: 474536, Bölüm Bitti, Ödül: -9172.89, Son 100 Bölüm Ort. Ödül: -7529.60
Adım: 474575, Bölüm Bitti, Ödül: -9670.79, Son 100 Bölüm Ort. Ödül: -7553.02
Adım: 474588, Bölüm Bitti, Ödül: -2596.03, Son 100 Bölüm Ort. Ödül: -7555.55
Adım: 474614, Bölüm Bitti, Ödül: -6777.02, Son 100 Bölüm Ort. Ödül: -7546.51
Adım: 474637, Bölüm Bitti, Ödül: -5865.55, Son 100 Bölüm Ort. Ödül: -7535.77
Adım: 474682, Bölüm Bitti, Ödül: -9673.18, Son 100 Bölüm Ort. Ödül: -7588.13
